Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
France,FRA,Western Europe,64291.00,2369589.06,2611199.85,36391.00,42727.86,0.893
French Guiana,GUF,South America,n/a,n/a,n/a,n/a,n/a,n/a
French Polynesia,PYF,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Gabon,GAB,Middle Africa,1672.00,25289.76,18377.08,16483.34,11113.89,0.683
Gambia,GMB,Western Africa,1849.00,2676.02,907.43,1506.68,508.27,0.439
Georgia,GEO,Western Asia,4341.00,28345.98,15747.29,6342.52,3230.67,0.745
Germany,DEU,Western Europe,82727.00,3352099.06,3425928.31,40989.73,44364.83,0.920
Ghana,GHA,Western Africa,25905.00,85526.11,40710.78,3425.73,1584.77,0.558
Gibraltar,GIB,Southern Europe,n/a,n/a,n/a,n/a,n/a,n/a
Greece,GRC,Southern Europe,11128.00,300833.72,248938.66,26622.45,25653.72,0.860
Greenland,GRL,Northern America,n/a,n/a,n/a,n/a,n/a,n/a
Grenada,GRD,Caribbean,106.00,1179.03,766.51,11220.94,7410.48,0.770
Guadeloupe,GLP,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Guam,GUM,Micronesia,n/a,n/a,n/a,n/a,n/a,n/a
Guatemala,GTM,Central America,15468.00,102391.16,50233.75,6971.26,3246.88,0.581
Guinea,GIN,Western Africa,11745.00,13154.58,5631.62,1286.91,489.51,0.355
Guinea-Bissau,GNB,Western Africa,1704.00,2111.25,822.32,1364.68,636.51,0.364
Guyana,GUY,South America,800.00,n/a,2850.57,n/a,n/a,0.636
Haiti,HTI,Caribbean,10317.00,15579.00,7843.48,1556.51,733.96,0.456
Holy See,VAT,Southern Europe,1.00,n/a,n/a,n/a,n/a,n/a
Honduras,HND,Central America,8098.00,33791.21,18434.02,4349.44,2282.24,0.632
Hong Kong SAR (China),HKG,Eastern Asia,7154.00,354490.53,263259.37,50128.76,35172.52,0.906
Hungary,HUN,Eastern Europe,9955.00,223497.05,124600.49,22413.13,13790.31,0.831
Iceland,ISL,Northern Europe,330.00,12194.04,13578.94,38225.85,43968.70,0.906
India,IND,Southern Asia,1252140.00,5757534.05,1858740.11,4734.98,1532.94,0.554
Indonesia,IDN,South-Eastern Asia,249866.00,2058129.82,878043.03,8538.61,3511.24,0.629
Iran (Islamic Republic of),IRN,Southern Asia,77447.00,1314235.63,552397.27,17488.24,7668.85,0.742
Iraq,IRQ,Western Asia,33765.00,371045.55,215837.91,11129.56,4793.74,0.590
Ireland,IRL,Northern Europe,4627.00,196554.54,210636.35,42942.09,49382.90,0.916
Isle of Man,IMY,Northern Europe,n/a,n/a,n/a,n/a,n/a,n/a
Israel,ISR,Western Asia,7733.00,234208.95,257621.96,30167.96,33259.12,0.900
Italy,ITA,Southern Europe,60990.00,2056688.92,2013375.30,33869.68,36180.04,0.881
Jamaica,JAM,Caribbean,2784.00,22944.27,14755.05,8329.23,5248.33,0.730
Japan,JPN,Eastern Asia,127144.00,4379753.13,5961065.54,34262.06,46131.35,0.912
Jordan,JOR,Western Asia,6318.00,69797.13,31015.24,11169.33,4615.18,0.700
Kazakhstan,KAZ,Central Asia,16441.00,343914.79,203520.61,20772.07,11358.01,0.754
Kenya,KEN,Eastern Africa,44354.00,88893.16,40697.16,2136.36,825.05,0.519
Kiribati,KIR,Micronesia,102.00,n/a,174.98,n/a,n/a,0.629
"Korea, PDR",PRK,Eastern Asia,24895.00,n/a,n/a,n/a,n/a,n/a
"Korea, Republic ",KOR,Eastern Asia,49263.00,1445332.48,1129598.27,29034.75,22388.26,0.909
Kosovo,,Southern Europe,1807.00,n/a,6445.20,n/a,n/a,n/a
Kuwait,KWT,Western Asia,3369.00,257709.72,183242.59,84058.16,52378.60,0.790
Kyrgyzstan,KGZ,Central Asia,5548.00,16105.96,6474.84,3062.20,1178.37,0.622
Lao People's Dem. Republic,LAO,South-Eastern Asia,6770.00,26229.15,9417.67,4107.93,1262.43,0.543
Latvia,LVA,Northern Europe,2050.00,41130.81,28372.58,19993.59,13657.66,0.814
Lebanon,LBN,Western Asia,4822.00,n/a,42945.27,n/a,n/a,0.745
